M0,altitude_km,PR,M3,T3_K,M4,T4_K,choked,V10_ms,specific_thrust_N_per_kg_s,Isp_fuel_s,eta_p_pct,eta_th_pct,eta_o_pct
4,21.29791741932041,0.6694973414649834,2.5173037034323817,403.72054062441856,1.0,1077.8477068929951,True,1288.0421034055203,141.7160003233205,496.5982926737981,95.78315976519873,4.380429583719839,4.195713866576404
5,24.16380024566304,0.5126485621862586,3.4113765710824175,398.1618599728431,1.0,1776.2034995438232,True,1676.271145737703,235.59327570733308,825.5611096472394,94.09886902790736,9.638736795973582,9.069942313587894
6,26.533211000640797,0.35858359480053786,4.244208538469824,397.61829978271265,1.0,2634.3313065354873,True,2043.651539630808,306.2091095186929,1073.0116616417363,93.57545311136242,15.308603783872366,14.32509535578174
7,28.556459135920903,0.23980815347721823,5.050892657477158,398.57568989049423,1.0,3656.5008973784643,True,2393.525691312291,357.29823114558894,1252.0371105412112,93.60700693605789,20.918549789474554,19.581228352356163
8,30.32385502633905,0.1590141125024846,5.843473887350392,400.0695129759131,1.0,4844.995475235633,True,2728.266566344691,391.5148217693545,1371.9381834342776,93.9327889490672,26.092342922527852,24.509265409284957
9,31.894274859231395,0.10672358591248667,6.627441586233839,401.7499923932288,1.340639365090794,5192.570275671494,False,2994.4003786567114,353.987890562787,1240.437083177768,95.3363653408575,25.598945560579534,24.405104263041324
10,33.31508625371982,0.07315957933241884,7.40571377151228,407.637227074126,1.7209574599656063,5028.52847123005,False,3204.375440608235,242.00022041262127,848.0121934672925,97.62375490502373,17.61157306504547,17.193078923939165
